# Copyright (C) 1991-2015 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus Prime License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 15.1.0 Build 185 10/21/2015 SJ Lite Edition
# File: E:\nutcloud\data\fudan\FPGA\Processor_pj\fibonacci\fibonacci.csv
# Generated on: Sun Dec 20 23:35:28 2015

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
altera_reserved_tck,Input,,,,PIN_P5,,,,,,
altera_reserved_tdi,Input,,,,PIN_P7,,,,,,
altera_reserved_tdo,Output,,,,PIN_P6,,,,,,
altera_reserved_tms,Input,,,,PIN_P8,,,,,,
CLOCK_50,Input,PIN_Y2,2,B2_N0,PIN_Y2,3.3-V LVTTL,,,,,
KEY[0],Input,PIN_M23,6,B6_N2,PIN_M23,2.5 V,,,,,
SW0,Input,PIN_AB28,5,B5_N1,PIN_AB28,2.5 V,,,,,
SW1,Input,PIN_AC28,5,B5_N2,PIN_AC28,2.5 V,,,,,
SW2,Input,PIN_AC27,5,B5_N2,PIN_AC27,2.5 V,,,,,
SW3,Input,PIN_AD27,5,B5_N2,PIN_AD27,2.5 V,,,,,
SW4,Input,PIN_AB27,5,B5_N1,PIN_AB27,2.5 V,,,,,
SW5,Input,PIN_AC26,5,B5_N2,PIN_AC26,2.5 V,,,,,
SW6,Input,PIN_AD26,5,B5_N2,PIN_AD26,2.5 V,,,,,
SW7,Input,PIN_AB26,5,B5_N1,PIN_AB26,2.5 V,,,,,
SW8,Input,PIN_AC25,5,B5_N2,PIN_AC25,2.5 V,,,,,
SW9,Input,PIN_AB25,5,B5_N1,PIN_AB25,2.5 V,,,,,
SW10,Input,PIN_AC24,5,B5_N2,PIN_AC24,2.5 V,,,,,
SW11,Input,PIN_AB24,5,B5_N2,PIN_AB24,2.5 V,,,,,
SW12,Input,PIN_AB23,5,B5_N2,PIN_AB23,2.5 V,,,,,
SW13,Input,PIN_AA24,5,B5_N2,PIN_AA24,2.5 V,,,,,
SW14,Input,PIN_AA23,5,B5_N2,PIN_AA23,2.5 V,,,,,
SW15,Input,PIN_AA22,5,B5_N2,PIN_AA22,2.5 V,,,,,
SW17,Input,PIN_Y23,5,B5_N2,PIN_Y23,2.5 V,,,,,
AUD_ADCDAT,Unknown,PIN_D2,1,B1_N0,,3.3-V LVTTL,,,,,
AUD_ADCLRCK,Unknown,PIN_C2,1,B1_N0,,3.3-V LVTTL,,,,,
AUD_BCLK,Unknown,PIN_F2,1,B1_N1,,3.3-V LVTTL,,,,,
AUD_DACDAT,Unknown,PIN_D1,1,B1_N0,,3.3-V LVTTL,,,,,
AUD_DACLRCK,Unknown,PIN_E3,1,B1_N0,,3.3-V LVTTL,,,,,
AUD_XCK,Unknown,PIN_E1,1,B1_N0,,3.3-V LVTTL,,,,,
CLOCK2_50,Unknown,PIN_AG14,3,B3_N0,,3.3-V LVTTL,,,,,
CLOCK3_50,Unknown,PIN_AG15,4,B4_N2,,3.3-V LVTTL,,,,,
DRAM_ADDR[12],Unknown,PIN_Y7,2,B2_N2,,3.3-V LVTTL,,,,,
DRAM_ADDR[11],Unknown,PIN_AA5,2,B2_N2,,3.3-V LVTTL,,,,,
DRAM_ADDR[10],Unknown,PIN_R5,2,B2_N0,,3.3-V LVTTL,,,,,
DRAM_ADDR[9],Unknown,PIN_Y6,2,B2_N2,,3.3-V LVTTL,,,,,
DRAM_ADDR[8],Unknown,PIN_Y5,2,B2_N2,,3.3-V LVTTL,,,,,
DRAM_ADDR[7],Unknown,PIN_AA7,2,B2_N2,,3.3-V LVTTL,,,,,
DRAM_ADDR[6],Unknown,PIN_W7,2,B2_N2,,3.3-V LVTTL,,,,,
DRAM_ADDR[5],Unknown,PIN_W8,2,B2_N2,,3.3-V LVTTL,,,,,
DRAM_ADDR[4],Unknown,PIN_V5,2,B2_N1,,3.3-V LVTTL,,,,,
DRAM_ADDR[3],Unknown,PIN_P1,1,B1_N2,,3.3-V LVTTL,,,,,
DRAM_ADDR[2],Unknown,PIN_U8,2,B2_N1,,3.3-V LVTTL,,,,,
DRAM_ADDR[1],Unknown,PIN_V8,2,B2_N1,,3.3-V LVTTL,,,,,
DRAM_ADDR[0],Unknown,PIN_R6,2,B2_N0,,3.3-V LVTTL,,,,,
DRAM_BA[1],Unknown,PIN_R4,2,B2_N0,,3.3-V LVTTL,,,,,
DRAM_BA[0],Unknown,PIN_U7,2,B2_N1,,3.3-V LVTTL,,,,,
DRAM_CAS_N,Unknown,PIN_V7,2,B2_N1,,3.3-V LVTTL,,,,,
DRAM_CKE,Unknown,PIN_AA6,2,B2_N2,,3.3-V LVTTL,,,,,
DRAM_CLK,Unknown,PIN_AE5,3,B3_N2,,3.3-V LVTTL,,,,,
DRAM_CS_N,Unknown,PIN_T4,2,B2_N0,,3.3-V LVTTL,,,,,
DRAM_DQ[31],Unknown,PIN_U1,2,B2_N0,,3.3-V LVTTL,,,,,
DRAM_DQ[30],Unknown,PIN_U4,2,B2_N0,,3.3-V LVTTL,,,,,
DRAM_DQ[29],Unknown,PIN_T3,2,B2_N0,,3.3-V LVTTL,,,,,
DRAM_DQ[28],Unknown,PIN_R3,2,B2_N0,,3.3-V LVTTL,,,,,
DRAM_DQ[27],Unknown,PIN_R2,2,B2_N0,,3.3-V LVTTL,,,,,
DRAM_DQ[26],Unknown,PIN_R1,2,B2_N0,,3.3-V LVTTL,,,,,
DRAM_DQ[25],Unknown,PIN_R7,2,B2_N0,,3.3-V LVTTL,,,,,
DRAM_DQ[24],Unknown,PIN_U5,2,B2_N1,,3.3-V LVTTL,,,,,
DRAM_DQ[23],Unknown,PIN_L7,1,B1_N2,,3.3-V LVTTL,,,,,
DRAM_DQ[22],Unknown,PIN_M7,1,B1_N2,,3.3-V LVTTL,,,,,
DRAM_DQ[21],Unknown,PIN_M4,1,B1_N1,,3.3-V LVTTL,,,,,
DRAM_DQ[20],Unknown,PIN_N4,1,B1_N2,,3.3-V LVTTL,,,,,
DRAM_DQ[19],Unknown,PIN_N3,1,B1_N2,,3.3-V LVTTL,,,,,
DRAM_DQ[18],Unknown,PIN_P2,1,B1_N2,,3.3-V LVTTL,,,,,
DRAM_DQ[17],Unknown,PIN_L8,1,B1_N2,,3.3-V LVTTL,,,,,
DRAM_DQ[16],Unknown,PIN_M8,1,B1_N2,,3.3-V LVTTL,,,,,
DRAM_DQ[15],Unknown,PIN_AC2,2,B2_N1,,3.3-V LVTTL,,,,,
DRAM_DQ[14],Unknown,PIN_AB3,2,B2_N1,,3.3-V LVTTL,,,,,
DRAM_DQ[13],Unknown,PIN_AC1,2,B2_N1,,3.3-V LVTTL,,,,,
DRAM_DQ[12],Unknown,PIN_AB2,2,B2_N0,,3.3-V LVTTL,,,,,
DRAM_DQ[11],Unknown,PIN_AA3,2,B2_N1,,3.3-V LVTTL,,,,,
DRAM_DQ[10],Unknown,PIN_AB1,2,B2_N0,,3.3-V LVTTL,,,,,
DRAM_DQ[9],Unknown,PIN_Y4,2,B2_N1,,3.3-V LVTTL,,,,,
DRAM_DQ[8],Unknown,PIN_Y3,2,B2_N1,,3.3-V LVTTL,,,,,
DRAM_DQ[7],Unknown,PIN_U3,2,B2_N0,,3.3-V LVTTL,,,,,
DRAM_DQ[6],Unknown,PIN_V1,2,B2_N0,,3.3-V LVTTL,,,,,
DRAM_DQ[5],Unknown,PIN_V2,2,B2_N0,,3.3-V LVTTL,,,,,
DRAM_DQ[4],Unknown,PIN_V3,2,B2_N0,,3.3-V LVTTL,,,,,
DRAM_DQ[3],Unknown,PIN_W1,2,B2_N1,,3.3-V LVTTL,,,,,
DRAM_DQ[2],Unknown,PIN_V4,2,B2_N0,,3.3-V LVTTL,,,,,
DRAM_DQ[1],Unknown,PIN_W2,2,B2_N0,,3.3-V LVTTL,,,,,
DRAM_DQ[0],Unknown,PIN_W3,2,B2_N2,,3.3-V LVTTL,,,,,
DRAM_DQM[3],Unknown,PIN_N8,1,B1_N2,,3.3-V LVTTL,,,,,
DRAM_DQM[2],Unknown,PIN_K8,1,B1_N2,,3.3-V LVTTL,,,,,
DRAM_DQM[1],Unknown,PIN_W4,2,B2_N2,,3.3-V LVTTL,,,,,
DRAM_DQM[0],Unknown,PIN_U2,2,B2_N0,,3.3-V LVTTL,,,,,
DRAM_RAS_N,Unknown,PIN_U6,2,B2_N1,,3.3-V LVTTL,,,,,
DRAM_WE_N,Unknown,PIN_V6,2,B2_N1,,3.3-V LVTTL,,,,,
EEP_I2C_SCLK,Unknown,PIN_D14,8,B8_N0,,3.3-V LVTTL,,,,,
EEP_I2C_SDAT,Unknown,PIN_E14,8,B8_N0,,3.3-V LVTTL,,,,,
ENET0_GTX_CLK,Unknown,PIN_A17,7,B7_N2,,2.5 V,,,,,
ENET0_INT_N,Unknown,PIN_A21,7,B7_N1,,2.5 V,,,,,
ENET0_LINK100,Unknown,PIN_C14,8,B8_N0,,3.3-V LVTTL,,,,,
ENET0_MDC,Unknown,PIN_C20,7,B7_N1,,2.5 V,,,,,
ENET0_MDIO,Unknown,PIN_B21,7,B7_N1,,2.5 V,,,,,
ENET0_RST_N,Unknown,PIN_C19,7,B7_N1,,2.5 V,,,,,
ENET0_RX_CLK,Unknown,PIN_A15,7,B7_N2,,2.5 V,,,,,
ENET0_RX_COL,Unknown,PIN_E15,7,B7_N2,,2.5 V,,,,,
ENET0_RX_CRS,Unknown,PIN_D15,7,B7_N2,,2.5 V,,,,,
ENET0_RX_DATA[3],Unknown,PIN_C15,7,B7_N2,,2.5 V,,,,,
ENET0_RX_DATA[2],Unknown,PIN_D17,7,B7_N1,,2.5 V,,,,,
ENET0_RX_DATA[1],Unknown,PIN_D16,7,B7_N2,,2.5 V,,,,,
ENET0_RX_DATA[0],Unknown,PIN_C16,7,B7_N2,,2.5 V,,,,,
ENET0_RX_DV,Unknown,PIN_C17,7,B7_N1,,2.5 V,,,,,
ENET0_RX_ER,Unknown,PIN_D18,7,B7_N1,,2.5 V,,,,,
ENET0_TX_CLK,Unknown,PIN_B17,7,B7_N2,,2.5 V,,,,,
ENET0_TX_DATA[3],Unknown,PIN_B19,7,B7_N1,,2.5 V,,,,,
ENET0_TX_DATA[2],Unknown,PIN_A19,7,B7_N1,,2.5 V,,,,,
ENET0_TX_DATA[1],Unknown,PIN_D19,7,B7_N1,,2.5 V,,,,,
ENET0_TX_DATA[0],Unknown,PIN_C18,7,B7_N1,,2.5 V,,,,,
ENET0_TX_EN,Unknown,PIN_A18,7,B7_N1,,2.5 V,,,,,
ENET0_TX_ER,Unknown,PIN_B18,7,B7_N1,,2.5 V,,,,,
ENET1_GTX_CLK,Unknown,PIN_C23,7,B7_N0,,2.5 V,,,,,
ENET1_INT_N,Unknown,PIN_D24,7,B7_N0,,2.5 V,,,,,
ENET1_LINK100,Unknown,PIN_D13,8,B8_N0,,3.3-V LVTTL,,,,,
ENET1_MDC,Unknown,PIN_D23,7,B7_N0,,2.5 V,,,,,
ENET1_MDIO,Unknown,PIN_D25,7,B7_N0,,2.5 V,,,,,
ENET1_RST_N,Unknown,PIN_D22,7,B7_N0,,2.5 V,,,,,
ENET1_RX_CLK,Unknown,PIN_B15,7,B7_N2,,2.5 V,,,,,
ENET1_RX_COL,Unknown,PIN_B22,7,B7_N1,,2.5 V,,,,,
ENET1_RX_CRS,Unknown,PIN_D20,7,B7_N1,,2.5 V,,,,,
ENET1_RX_DATA[3],Unknown,PIN_D21,7,B7_N0,,2.5 V,,,,,
ENET1_RX_DATA[2],Unknown,PIN_A23,7,B7_N0,,2.5 V,,,,,
ENET1_RX_DATA[1],Unknown,PIN_C21,7,B7_N0,,2.5 V,,,,,
ENET1_RX_DATA[0],Unknown,PIN_B23,7,B7_N0,,2.5 V,,,,,
ENET1_RX_DV,Unknown,PIN_A22,7,B7_N1,,2.5 V,,,,,
ENET1_RX_ER,Unknown,PIN_C24,7,B7_N0,,2.5 V,,,,,
ENET1_TX_CLK,Unknown,PIN_C22,7,B7_N0,,2.5 V,,,,,
ENET1_TX_DATA[3],Unknown,PIN_C26,7,B7_N0,,2.5 V,,,,,
ENET1_TX_DATA[2],Unknown,PIN_B26,7,B7_N0,,2.5 V,,,,,
ENET1_TX_DATA[1],Unknown,PIN_A26,7,B7_N0,,2.5 V,,,,,
ENET1_TX_DATA[0],Unknown,PIN_C25,7,B7_N0,,2.5 V,,,,,
ENET1_TX_EN,Unknown,PIN_B25,7,B7_N0,,2.5 V,,,,,
ENET1_TX_ER,Unknown,PIN_A25,7,B7_N0,,2.5 V,,,,,
ENETCLK_25,Unknown,PIN_A14,8,B8_N0,,3.3-V LVTTL,,,,,
EX_IO[6],Unknown,PIN_D9,8,B8_N1,,3.3-V LVTTL,,,,,
EX_IO[5],Unknown,PIN_E10,8,B8_N1,,3.3-V LVTTL,,,,,
EX_IO[4],Unknown,PIN_F14,8,B8_N0,,3.3-V LVTTL,,,,,
EX_IO[3],Unknown,PIN_H14,8,B8_N0,,3.3-V LVTTL,,,,,
EX_IO[2],Unknown,PIN_H13,8,B8_N0,,3.3-V LVTTL,,,,,
EX_IO[1],Unknown,PIN_J14,8,B8_N0,,3.3-V LVTTL,,,,,
EX_IO[0],Unknown,PIN_J10,8,B8_N1,,3.3-V LVTTL,,,,,
FL_ADDR[22],Unknown,PIN_AD11,3,B3_N0,,3.3-V LVTTL,,,,,
FL_ADDR[21],Unknown,PIN_AD10,3,B3_N2,,3.3-V LVTTL,,,,,
FL_ADDR[20],Unknown,PIN_AE10,3,B3_N1,,3.3-V LVTTL,,,,,
FL_ADDR[19],Unknown,PIN_AD12,3,B3_N0,,3.3-V LVTTL,,,,,
FL_ADDR[18],Unknown,PIN_AC12,3,B3_N0,,3.3-V LVTTL,,,,,
FL_ADDR[17],Unknown,PIN_AH12,3,B3_N0,,3.3-V LVTTL,,,,,
FL_ADDR[16],Unknown,PIN_AA8,3,B3_N1,,3.3-V LVTTL,,,,,
FL_ADDR[15],Unknown,PIN_Y10,3,B3_N2,,3.3-V LVTTL,,,,,
FL_ADDR[14],Unknown,PIN_AC8,3,B3_N1,,3.3-V LVTTL,,,,,
FL_ADDR[13],Unknown,PIN_AD8,3,B3_N2,,3.3-V LVTTL,,,,,
FL_ADDR[12],Unknown,PIN_AA10,3,B3_N1,,3.3-V LVTTL,,,,,
FL_ADDR[11],Unknown,PIN_AF9,3,B3_N1,,3.3-V LVTTL,,,,,
FL_ADDR[10],Unknown,PIN_AE9,3,B3_N1,,3.3-V LVTTL,,,,,
FL_ADDR[9],Unknown,PIN_AB10,3,B3_N1,,3.3-V LVTTL,,,,,
FL_ADDR[8],Unknown,PIN_AB12,3,B3_N0,,3.3-V LVTTL,,,,,
FL_ADDR[7],Unknown,PIN_AB13,3,B3_N0,,3.3-V LVTTL,,,,,
FL_ADDR[6],Unknown,PIN_AA12,3,B3_N0,,3.3-V LVTTL,,,,,
FL_ADDR[5],Unknown,PIN_AA13,3,B3_N0,,3.3-V LVTTL,,,,,
FL_ADDR[4],Unknown,PIN_Y12,3,B3_N0,,3.3-V LVTTL,,,,,
FL_ADDR[3],Unknown,PIN_Y14,3,B3_N0,,3.3-V LVTTL,,,,,
FL_ADDR[2],Unknown,PIN_Y13,3,B3_N0,,3.3-V LVTTL,,,,,
FL_ADDR[1],Unknown,PIN_AH7,3,B3_N1,,3.3-V LVTTL,,,,,
